Rollno,Exam ID,AcademicYearID,semester,subjectid,SubjectName,TheoryAggGrade,TheoryAggGradePoint,TheoryCredit,ThIsPresent,PracticalAggMarks,PracticalAggGrade,PracticalAggGradePoint,PracticalCredit,PrIsPresent,SGPA,CGPA,prsgpa,prcgpa,noofbacklog
1,984,1,2,1,ENGLISH & COMMUNICATION SKILLS,BC,7,1,1,38,AB,9,1,1,6.9,6.9,,,
1,984,1,2,7,BIOCHEMISTRY,BB,8,4,1,40,AA,10,1,1,8.4,7.64,,,
1,984,1,2,8,FUNDAMENTALS OF BIOMECHANICS,CD,5,5,1,36,BB,8,1,1,0,0,,,
1,984,1,2,9,FUNDAMENTALS OF BIOMEDICAL PHYSICS,CD,5,5,1,33,BC,7,1,1,0,0,,,
1,984,1,2,10,HUMAN ANATOMY I,DD,4,6,1,56,CD,5,1,1,0,0,,,
1,984,1,2,11,SOCIOLOGY,CC,6,3,1,0,,NULL,0,0,0,0,,,
1,934,1,1,13,HUMAN PHYSIOLOGY II,BB,8,6,1,73,BB,8,1,1,0,0,,,
1,934,1,1,14,HUMAN PHYSIOLOGY I,AB,9,6,1,71,BB,8,1,1,0,0,,,
1,934,1,1,15,ENGLISH & COMMUNICATION SKILLS,FF,0,1,1,29,CD,5,1,1,2.18,2.18,,,
1,934,1,1,16,FUNDAMENTALS OF BIOMECHANICS,CD,5,5,1,36,BB,8,1,1,0,0,,,
1,934,1,1,17,SOCIOLOGY,CC,6,3,1,0,,NULL,0,0,0,0,,,
1,934,1,1,18,BIOCHEMISTRY,FF,0,4,1,26,DD,4,1,1,2.36,3.42,,,
1,1022,7,3,27,KINESIOLOGY,AB,9,5,1,40,AA,10,1,1,0,0,,,
1,1092,7,4,29,KINESIOLOGY,BB,8,5,1,40,AA,10,1,1,0,0,,,
1,1022,7,3,30,GENERAL MEDICINE,DD,4,6,1,0,,NULL,0,0,0,0,,,
1,1022,7,3,40,BIOCHEMISTRY,FF,0,4,0,12,FF,0,1,0,0,0,,,
1,1022,7,3,41,HUMAN ANATOMY II,FF,0,6,1,50,DD,4,1,1,0,0,,,
1,1022,7,3,42,FIRST AID & EMERGENCY NURSING,BB,8,1,1,43,AA,10,1,1,0,0,,,
1,1022,7,3,43,SOCIOLOGY,BC,7,3,1,0,,NULL,0,0,0,0,,,
1,1092,7,4,44,ENGLISH & COMMUNICATION SKILLS,DD,4,1,1,32,CC,6,1,1,3.78,3.78,,,
1,1092,7,4,45,HUMAN ANATOMY I,DD,4,6,1,59,CD,5,1,1,0,0,,,
1,1092,7,4,46,SOCIOLOGY,CC,6,3,1,0,,NULL,0,0,0,0,,,
1,1092,7,4,47,FIRST AID & EMERGENCY NURSING,CC,6,1,1,33,BC,7,1,1,0,0,,,
1,1092,7,4,48,HUMAN PHYSIOLOGY II,DD,4,6,1,57,CD,5,1,1,0,0,,,
1,1022,7,3,49,HUMAN ANATOMY I,DD,4,6,1,55,CD,5,1,1,4.5,3.6,,,
1,1092,7,4,50,PSYCHOLOGY,CD,5,4,1,0,,NULL,0,0,0,0,,,
1,1256,14,5,78,MICROBIOLOGY,DD,4,3,1,0,,0,0,0,NULL,NULL,5.24,4.82,0
1,1256,14,5,79,COMPUTER APPLICATIONS,DD,4,1,1,29,CD,5,1,1,3.31,4.06,2.76,3.12,3
1,1256,14,5,80,CLINICAL TRAINING,,0,0,0,68,BC,7,4,1,NULL,NULL,5.15,4.89,1
1,1256,14,5,81,COMPUTER APPLICATIONS,BC,7,1,1,38,AB,9,1,1,8.55,8.74,9.03,8.83,0
1,1256,14,5,82,BIOSTATISTICS,BC,7,3,1,0,,0,0,0,NULL,NULL,6.21,5.54,0
1,1256,14,5,83,KINESIOLOGY,DD,4,5,1,37,BB,8,1,1,NULL,NULL,4.85,5.2,0
1,1330,14,6,84,HUMAN ANATOMY II,DD,4,6,1,50,DD,4,1,NULL,3.42,3.88,0.84,0.84,1
1,1330,14,6,85,MICROBIOLOGY,FF,0,3,1,0,,0,0,0,NULL,NULL,4.33,4.29,2
1,1330,14,6,86,PHYSIOTHERAPY IN CARDIORESPIRATORY CONDITIONS,CC,6,4,1,60,CC,6,2,1,NULL,NULL,5.73,5.77,0
1,1330,14,6,87,PHYSIOTHERAPY IN ORTHOPAEDIC CONDITIONS,CD,5,4,1,55,CD,5,2,1,5.73,5,4.89,4.9,0
1,1330,14,6,88,PROJECT,,0,0,0,62,CC,6,2,1,NULL,NULL,5.27,4.76,2
1,1256,14,5,89,BIOENGINEERING,CC,6,3,1,0,,0,0,0,NULL,NULL,5.42,5.86,0
1,1330,14,6,90,CLINICAL ORTHOPAEDICS,BB,8,7,1,0,,0,0,0,NULL,NULL,8.25,7.83,0
1,1546,30,7,449,CLINICAL ORTHOPAEDICS,CD,5,7,1,0,,0,0,0,NULL,NULL,5.94,5.24,0
1,1546,30,7,452,CLINICAL TRAINING,,0,0,0,64,CC,6,6,1,NULL,NULL,5.18,5.58,0
1,1546,30,7,463,CLINICAL ORTHOPAEDICS,DD,4,7,1,0,,0,0,0,NULL,NULL,5.31,4.98,0
1,1546,30,7,465,ADVANCED EXERCISE THERAPEUTICS,DD,4,3,1,27,DD,4,2,1,NULL,NULL,5.22,4.46,3
1,1546,30,7,466,CLINICAL CARDIO RESPIRATORY CONDITIONS,DD,4,4,1,0,,0,0,0,5.29,5.52,5.58,5.56,0
1,1638,30,8,468,LIBERAL ARTS - PHOTOGRAPHY,,0,0,0,83,AB,9,2,1,8.64,8.64,0,0,0
1,1638,30,8,470,ENGLISH LANGUAGE AND LITERATURE,BC,7,1,1,33,BC,7,1,1,NULL,NULL,6.45,6.45,0
1,1638,30,8,473,ANIMAL SCIENCES,BB,8,4,1,0,,0,0,0,NULL,NULL,0,0,0
1,1638,30,8,474,CONCEPTS OF INORGANIC CHEMISTRY,BC,7,2,1,0,,0,0,0,NULL,NULL,5.55,5.55,0
1,1638,30,8,476,BASIC MATHEMATICS FOR BIOLOGISTS,AB,9,2,1,0,,0,0,0,NULL,NULL,0,0,0
1,1638,30,8,576,LABORATORY-II,,0,0,0,115,BB,8,6,1,NULL,NULL,8.36,8.36,0
2,984,1,2,1,PSYCHOLOGY,CC,6,4,1,0,,NULL,0,0,0,0,,,
2,984,1,2,7,FUNDAMENTALS OF BIOMECHANICS,CC,6,5,1,41,AA,10,1,1,0,0,,,
2,984,1,2,8,FUNDAMENTALS OF BIOMEDICAL PHYSICS,DD,4,5,1,37,BB,8,1,1,0,0,,,
2,984,1,2,9,HUMAN ANATOMY I,DD,4,6,1,62,CC,6,1,1,0,0,,,
2,984,1,2,10,HUMAN PHYSIOLOGY I,CC,6,6,1,68,BC,7,1,1,0,0,,,
2,984,1,2,11,ENGLISH & COMMUNICATION SKILLS,CC,6,1,1,36,BB,8,1,1,5.21,5.21,,,
2,934,1,1,13,FUNDAMENTALS OF BIOMECHANICS,DD,4,5,1,32,CC,6,1,1,0,0,,,
2,934,1,1,14,SOCIOLOGY,BB,8,3,1,0,,NULL,0,0,0,0,,,
2,934,1,1,15,PSYCHOLOGY,BB,8,4,1,0,,NULL,0,0,0,0,,,
2,934,1,1,16,FUNDAMENTALS OF BIOMEDICAL PHYSICS,DD,4,5,1,42,AA,10,1,1,0,0,,,
2,934,1,1,17,HUMAN ANATOMY I,DD,4,6,1,55,CD,5,1,1,4.14,4.83,,,
2,934,1,1,18,FUNDAMENTALS OF BIOMEDICAL PHYSICS,FF,0,5,1,36,BB,8,1,1,0,0,,,
2,1022,7,3,27,COMPUTER APPLICATIONS,AA,10,1,1,45,AA,10,1,1,8.2,7.64,,,
2,1092,7,4,29,CLINICAL TRAINING,,NULL,0,0,84,AA,10,4,1,0,0,,,
2,1022,7,3,30,ETHICS & ADMINISTRATION,CC,6,3,1,0,,NULL,0,0,0,0,,,
2,1022,7,3,40,HUMAN PHYSIOLOGY II,FF,0,6,0,19,FF,0,1,0,0,0,,,
2,1022,7,3,41,HUMAN PHYSIOLOGY II,FF,0,6,1,61,CC,6,1,1,0,0,,,
2,1022,7,3,42,FUNDAMENTALS OF BIOMEDICAL PHYSICS,BC,7,5,1,45,AA,10,1,1,0,0,,,
2,1022,7,3,43,FIRST AID & EMERGENCY NURSING,BB,8,1,1,26,DD,4,1,1,0,0,,,
2,1092,7,4,44,HUMAN ANATOMY I,DD,4,6,1,63,CC,6,1,1,4.28,4.17,,,
2,1092,7,4,45,SOCIOLOGY,CD,5,3,1,0,,NULL,0,0,0,0,,,
