id,sgpa1,sgpa2,sgpa3,sgpa4,cgpa,active_backlogs,total_backlogs,10th_mark,12th_mark,stress_level,studytime,part_timejob,math,dsa,networks,os,attendance,career_preference
1,6.79,7.94,7.12,6.22,7.02,0,0,81.91,84.23,medium,13,no,52,88,90,85,85.93,higher study
2,9.82,5.18,7,6.27,7.07,0,0,45.37,33.45,medium,10,yes,37,34,81,81,71.06,job
3,6.74,6.52,6.53,7.96,6.94,0,0,56.23,64.97,medium,0,yes,50,48,50,86,70.8,higher study
4,8.72,8.62,4.71,7.46,7.38,0,0,77.44,86.19,low,2,yes,97,58,77,88,97.16,job
5,6.75,7.84,7.82,8.37,7.7,4,5,65.31,75.22,low,2,yes,55,53,37,71,72.13,none
6,6.82,6.47,7.43,5.92,6.66,0,0,82.49,64.77,medium,5,yes,99,49,63,35,90.73,job
7,8.28,8.89,8.6,8.75,8.63,0,0,97.4,76.19,high,4,no,75,85,88,86,85.72,higher study
8,4.88,7.56,6.1,4.99,5.88,0,3,40.82,93.77,high,11,yes,78,98,63,83,83.7,job
9,7.35,6.22,7.93,7.17,7.17,0,0,80.54,70.95,high,10,no,44,34,51,62,67.24,none
10,8.33,7.88,8.29,9.03,8.38,0,0,48.44,86.59,high,14,yes,86,49,77,88,61.38,higher study
11,6.2,6.76,4.36,9.5,6.7,0,0,60.78,98.71,low,6,yes,93,60,95,94,79.55,none
12,9.15,8.41,8.28,7.79,8.41,0,5,35.21,80.28,low,2,yes,62,51,64,83,99.53,job
13,4.43,8.45,8.66,5.5,6.76,0,0,42.11,71.42,high,10,yes,53,77,49,49,67.83,job
14,7.46,8.94,8.19,4.16,7.19,5,5,54.43,35.52,low,0,no,38,83,56,77,81.47,job
15,6.1,7.51,8.78,7.5,7.47,0,0,55.92,58.1,high,10,yes,58,47,47,49,86.84,job
16,6.19,7.36,7,8.94,7.37,0,1,93.27,70.89,medium,14,yes,67,85,35,61,79.35,higher study
17,8.72,3.97,7.51,8.49,7.17,5,5,82.7,86.41,medium,2,no,45,83,45,90,80.28,job
18,6.42,5.06,6.04,4.03,5.39,0,1,98.14,62.36,high,7,yes,61,50,91,59,86.45,higher study
